施設種別,内容,写真,lat,lng,備考
避難経路のバリア,,https://static.reearth.io/assets/01gghc1j2g2y18atkh415rzays.jpg,35.51674303,134.1802201,幅員が狭く傾斜が急な道路
避難経路のバリア,,https://static.reearth.io/assets/01gghc1qa5mrb7a0edsh3re3pe.jpg,35.53053376,134.1935151,幅員が狭く傾斜が急な道路。途中から階段になっている。
避難経路のバリア,,https://static.reearth.io/assets/01gghc20dbbkbb5b2qmhp3e806.jpg,35.53049618,134.193431,幅員が狭い階段通路。手すりは設置されている。
避難経路のバリア,,https://static.reearth.io/assets/01gghc28gjh03n1yvaanepfnrs.jpg,35.51387749,134.1828619,少し勾配が急な道。車いす等で通る場合、負担がある。
避難経路のバリア,溝,https://static.reearth.io/assets/01gghc2d4yk4rt72bw51qyd68c.jpg,35.5133119,134.182282,夜間の避難などの際、転落等に注意が必要
避難経路のバリア,,https://static.reearth.io/assets/01gghc32fbpjarhjcy5r5th247.jpg,35.51122137,134.1812797,傾斜があり、かつ表面がガタガタしているため、車いす等で通る場合、負担がある。
避難経路のバリア,,https://static.reearth.io/assets/01gghc2tx7pt3efbn8067dp6na.jpg,35.50822875,134.1810363,傾斜が急な道。車いす等で通る場合、負担がある。
避難経路のバリア,段差,https://static.reearth.io/assets/01gghc3crvb7eegw4mkwzaqpq0.jpg,35.50721212,134.1805208,
避難経路のバリア,,https://static.reearth.io/assets/01gghc2ngra2p0rkanj7k633rz.jpg,35.50620981,134.1787739,傾斜が急な道。車いす等で通る場合、負担がある。
避難経路のバリア,,https://static.reearth.io/assets/01gghc3sth6csre82z3rm78cpa.jpg,35.5067396,134.1785592,かつ表面がガタガタしているため、車いす等で通る場合、負担がある。
避難経路のバリア,,https://static.reearth.io/assets/01gghc3t9cbta8j88erbgbpb37.jpg,35.50725508,134.1776571,傾斜があるため、車いす等で通る場合、負担がある。
避難経路のバリア,溝,https://static.reearth.io/assets/01gghc44c4pcwy1xesc1n0sghx.jpg,35.50844353,134.1776284,夜間の避難などの際、転落等に注意が必要
避難経路のバリア,溝,https://static.reearth.io/assets/01gghc46fkvkwfza963js8q8t4.jpg,35.50924538,134.1782298,夜間の避難などの際、転落等に注意が必要
避難経路のバリア,,https://static.reearth.io/assets/01gghc4e7qdj0bfktgb523nhja.jpg,35.51533085,134.1786451,傾斜が急な道。車いす等で通る場合、負担がある。
避難経路のバリア,,https://static.reearth.io/assets/01gghc4w6cjw7dafxkmmt9qnwv.jpg,35.51533085,134.1784016,傾斜が急な道。車いす等で通る場合、負担がある。
